task,input,output,quiz
pdf_summary,"The Great Wall of China is an ancient series of walls and fortifications, totaling more than 13,000 miles in length. Built over several centuries, it served to protect Chinese states and empires from invasions by nomadic tribes.","The Great Wall of China, over 13,000 miles long, was built to protect China from invasions.","What was the main purpose of the Great Wall of China?; Defense against invasions, Trade, Cultural exchange, Religious practice"
pdf_summary,"The periodic table organizes elements based on atomic number, electron configuration, and recurring properties. Groups represent elements with similar characteristics, while periods represent increasing energy levels.",The periodic table organizes elements by atomic number and properties. Groups show similar characteristics.,"What does a group in the periodic table represent?; Similar chemical properties, Increasing atomic mass, Increasing energy levels, None of the above"
pdf_summary,"The Roman Empire was one of the most influential civilizations in history. At its height, it controlled much of Europe, North Africa, and the Middle East. Roman engineering, law, and culture significantly impacted the Western world.","The Roman Empire, spanning Europe, Africa, and the Middle East, influenced Western law, engineering, and culture.","Which area was NOT part of the Roman Empire at its height?; North America, Europe, Middle East, North Africa"
general_knowledge,Example input text for general_knowledge task number 4. Details about the topic or content are provided here.,Example output text summarizing or answering task 4.,"What is the key takeaway of task 4?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 5. Details about the topic or content are provided here.,Example output text summarizing or answering task 5.,
course_summary,Example input text for course_summary task number 6. Details about the topic or content are provided here.,Example output text summarizing or answering task 6.,"What is the key takeaway of task 6?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 7. Details about the topic or content are provided here.,Example output text summarizing or answering task 7.,
general_knowledge,Example input text for general_knowledge task number 8. Details about the topic or content are provided here.,Example output text summarizing or answering task 8.,"What is the key takeaway of task 8?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 9. Details about the topic or content are provided here.,Example output text summarizing or answering task 9.,
youtube_summary,Example input text for youtube_summary task number 10. Details about the topic or content are provided here.,Example output text summarizing or answering task 10.,"What is the key takeaway of task 10?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 11. Details about the topic or content are provided here.,Example output text summarizing or answering task 11.,
general_knowledge,Example input text for general_knowledge task number 12. Details about the topic or content are provided here.,Example output text summarizing or answering task 12.,"What is the key takeaway of task 12?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 13. Details about the topic or content are provided here.,Example output text summarizing or answering task 13.,
youtube_summary,Example input text for youtube_summary task number 14. Details about the topic or content are provided here.,Example output text summarizing or answering task 14.,"What is the key takeaway of task 14?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 15. Details about the topic or content are provided here.,Example output text summarizing or answering task 15.,
general_knowledge,Example input text for general_knowledge task number 16. Details about the topic or content are provided here.,Example output text summarizing or answering task 16.,"What is the key takeaway of task 16?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 17. Details about the topic or content are provided here.,Example output text summarizing or answering task 17.,
course_summary,Example input text for course_summary task number 18. Details about the topic or content are provided here.,Example output text summarizing or answering task 18.,"What is the key takeaway of task 18?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 19. Details about the topic or content are provided here.,Example output text summarizing or answering task 19.,
general_knowledge,Example input text for general_knowledge task number 20. Details about the topic or content are provided here.,Example output text summarizing or answering task 20.,"What is the key takeaway of task 20?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 21. Details about the topic or content are provided here.,Example output text summarizing or answering task 21.,
youtube_summary,Example input text for youtube_summary task number 22. Details about the topic or content are provided here.,Example output text summarizing or answering task 22.,"What is the key takeaway of task 22?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 23. Details about the topic or content are provided here.,Example output text summarizing or answering task 23.,
